ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk
penguin,Do penguins feed on krill?,Yes,easy,easy,S08_set1_a3,"['92', '113', '97']",Yes.,"Most penguins feed on krill, fish, squid, and other forms of sealife caught while swimming underwater. "
penguin,What is the largest living species of penguin?,Emperor Penguin,easy,medium,S08_set1_a3,"['90', '109', '88']",The largest living species of penguin is the Emperor Penguin.,"The Emperor penguin (the largest penguin) has the largest body mass of all penguins, which further reduces relative surface area and heat loss. "
penguin,Do penguins live almost exclusively in the Southern Hemisphere?,Yes,easy,easy,S08_set1_a3,"['89', '87', '88']",Yes.,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere"
penguin,"What is ""tobogganing""?",Pengiun movement where they slide on their bellies,medium,hard,S08_set1_a3,"['40', '452', '530']",Not specified,"Penguins either waddle on their feet or slide on their bellies across the snow, a movement called ""tobogganing"", which conserves energy while moving quickly.  "
penguin,Why are penguins countershaded?,Yes,medium,hard,S08_set1_a3,"['94', '113', '97']",For camouflage.,"All penguins are countershaded - that is, they have a white underside and a dark (mostly black) upperside. "
penguin,Are penguins afraid of humans?,No,medium,medium,S08_set1_a3,"['93', '96', '94']",No.,"Penguins are popular around the world, primarily for their unusually upright, waddling pace and (compared to other birds) lack of fear of humans. "
penguin,How much time to penguins spend on land?,Half their life,hard,hard,S08_set1_a3,"['95', '92', '87']",Half.,They spend half of their life on land and half in the oceans.
penguin,How many species of penguins are there?,Between 17 and 20,hard,medium,S08_set1_a3,"['88', '113', '108']",17-20,
penguin,How are Isabelline penguins different from most penguins?,Brown rather than black plumage,hard,hard,S08_set1_a3,"['100', '113', '122']",Isabelline penguins are different from most penguins in that they are born with brown rather than black plumage.,"Perhaps one in 50,000 penguins (of most species) are born with brown rather than black plumage.  These are called Isabelline penguins"
penguin,Are penguins birds?,Yes,easy,easy,S08_set1_a3,"['122', '87', '94']",Yes.,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere."
penguin,Do penguins have a better than average sense of hearing for birds?,No,easy,easy,S08_set1_a3,"['96', '94', '93']",No.,Penguins have an average sense of hearing for birds (Wever et al 1969); this is used by parents and chicks to locate one another in crowded colonies (Jouventin et al 1999).
penguin,"Are penguins considered ""higher waterbirds""?",Yes,easy,easy,S08_set1_a3,"['122', '94', '87']",No,"What seems clear is that penguins belong to a clade of Neoaves (living birds except paleognaths and fowl) which comprises what is sometimes called ""higher waterbirds"" to distinguish them from the more ancient waterfowl. "
penguin,What order do penguins belong to?,Sphenisciformes,medium,medium,S08_set1_a3,"['122', '113', '123']",Not specified,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere."
