ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk,chunk_annotation,answer_annotation
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['7', '0', '48', '13', '9']",Yes,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.",True,1
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['9', '7', '48', '13', '15']",Yes.,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.,True,1
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['19', '18', '23', '59', '7']",Yes,Even large pythons are potential prey for leopards.,True,1
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['9', '0', '10', '40', '36']",cheetah or a jaguar,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. ",True,1
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['46', '47', '48', '4', '42']",Pumapard,A pumapard is a hybrid animal resulting from a union between a leopard and a puma,True,1
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['21', '16', '15', '17', '23']",Up trees,"Leopards often hide their kills in dense vegetation or take them up trees,",True,1
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['5', '38', '0', '9', '4']",By the length of the tail.,"Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",True,1
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['10', '0', '39', '36', '38']",Black Panthers,"Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",True,1
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['38', '9', '36', '40', '11']",Circular,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",True,1
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['0', '13', '4', '9', '35']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['0', '13', '35', '9', '4']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['0', '13', '9', '35', '34']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['13', '14', '1', '51', '33']","Subsaharan Africa, South Africa, Indian subcontinent, Indochina, Malaysia, western China, Israel, Spain, Korea - fragmented populations in different regions across Africa and Asia","Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. ",True,1
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['7', '9', '27', '26', '48']",60 to 110cm,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm",True,1
leopard,How much does a leopard weigh?,28 to 90kg,medium,medium,S08_set1_a2,"['7', '23', '27', '18', '9']",not specified,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,0
leopard,Does a male leopard weigh more than a female leopard?,Yes,hard,medium,S08_set1_a2,"['7', '24', '31', '27', '28']",Yes,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,1
leopard,What is the difference between leopards and cheetahs?,Rosettes rather than spots and less lanky.,hard,hard,S08_set1_a2,"['9', '15', '42', '7', '0']","Leopards have rosettes rather than cheetah's simple spots, and are larger and less lanky than cheetahs, but smaller than a jaguar.","The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. ",True,1
leopard,How does the distribution size of the leopard compare to the distribution of other wild cats?,The largest,hard,hard,S08_set1_a2,"['13', '7', '27', '9', '14']",The distribution size of the leopard is larger than other wild cats.,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",True,1
leopard,What resembles that of the similarly-sized cougar in the Americas?,Ecological role,,medium,S08_set1_a2,"['3', '5', '7', '9', '13']",Not specified.,Its ecological role resembles that of the similarly-sized cougar in the Americas.,True,0
leopard,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium,S08_set1_a2,"['5', '92', '8', '156', '34']",Felis pardus,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,What sort of cats are solitary?,Leopards,,hard,S08_set1_a2,"['16', '31', '13', '15', '17']",Leopards.,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,Are leopards circular?,"Ther rosettes are circular, yes",,easy,S08_set1_a2,"['0', '38', '9', '15', '36']",No,They are circular in East Africa but tend to be square in southern Africa.  .,True,1
leopard,Is the leopard solitary?,Yes,,easy,S08_set1_a2,"['31', '16', '9', '3', '26']",Yes,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,What centred in Sierra?,Leopard men,,medium,S08_set1_a2,"['52', '116', '27', '51', '206']",Sri Lanka,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",False,0
leopard,Felis pardus was what?,"One of many species described in Linneaus's work, Systema Naturae",,medium,S08_set1_a2,"['6', '0', '35', '5', '4']",leopard,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,,easy,S08_set1_a2,"['64', '63', '65', '49', '42']",Yes,The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards.,True,1
leopard,Were the Leopard men a West African secret society who practised cannibalism ?,Yes,,easy,S08_set1_a2,"['57', '58', '42', '60', '63']",Yes,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",True,1
leopard,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,,easy,S08_set1_a2,"['56', '65', '4', '0', '42']",Yes,The leopard tank was a German designed tank which entered service in 1965.,True,1
leopard,Is the black color heritable and caused by only one recessive gene locus ?,Yes,,easy,S08_set1_a2,"['11', '39', '36', '88', '40']",Yes,The black color is heritable and caused by only one recessive gene locus. ,True,1
leopard,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,,easy,S08_set1_a2,"['0', '5', '35', '13', '4']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. ",True,1
leopard,Can a panther be any of several species of large felid?,Yes,,easy,S08_set1_a2,"['5', '0', '10', '38', '35']",Yes,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards",True,1
leopard,Is the leopard an agile and graceful predator?,Yes,,easy,S08_set1_a2,"['7', '15', '3', '21', '16']",Yes,The leopard is an agile and graceful predator. ,True,1
penguin,Do penguins feed on krill?,Yes,easy,easy,S08_set1_a3,"['74', '75', '81', '78', '77']",Yes,"Most penguins feed on krill, fish, squid, and other forms of sealife caught while swimming underwater. ",True,1
penguin,What is the largest living species of penguin?,Emperor Penguin,easy,medium,S08_set1_a3,"['72', '102', '104', '105', '73']",Nordenskjoeld's Giant Penguin,"The Emperor penguin (the largest penguin) has the largest body mass of all penguins, which further reduces relative surface area and heat loss. ",False,0
penguin,Do penguins live almost exclusively in the Southern Hemisphere?,Yes,easy,easy,S08_set1_a3,"['113', '70', '68', '118', '110']",No.,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere",True,0
penguin,"What is ""tobogganing""?",Pengiun movement where they slide on their bellies,medium,hard,S08_set1_a3,"['161', '128', '193', '71', '125']",not specified,"Penguins either waddle on their feet or slide on their bellies across the snow, a movement called ""tobogganing"", which conserves energy while moving quickly.  ",False,0
penguin,Why are penguins countershaded?,Yes,medium,hard,S08_set1_a3,"['78', '89', '81', '82', '77']",For camouflage.,"All penguins are countershaded - that is, they have a white underside and a dark (mostly black) upperside. ",True,1
penguin,Are penguins afraid of humans?,No,medium,medium,S08_set1_a3,"['75', '128', '76', '68', '81']",Not specified.,"Penguins are popular around the world, primarily for their unusually upright, waddling pace and (compared to other birds) lack of fear of humans. ",True,0
penguin,How much time to penguins spend on land?,Half their life,hard,hard,S08_set1_a3,"['74', '80', '77', '85', '75']",Half,They spend half of their life on land and half in the oceans.,True,1
penguin,How are Isabelline penguins different from most penguins?,Brown rather than black plumage,hard,hard,S08_set1_a3,"['88', '87', '110', '78', '113']",They are born with brown plumage.,"Perhaps one in 50,000 penguins (of most species) are born with brown rather than black plumage.  These are called Isabelline penguins",True,1
penguin,Are penguins birds?,Yes,easy,easy,S08_set1_a3,"['121', '122', '77', '68', '120']",Yes,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere.",True,1
penguin,Do penguins have a better than average sense of hearing for birds?,No,easy,easy,S08_set1_a3,"['81', '77', '82', '128', '75']",Not specified.,Penguins have an average sense of hearing for birds (Wever et al 1969); this is used by parents and chicks to locate one another in crowded colonies (Jouventin et al 1999).,True,0
penguin,"Are penguins considered ""higher waterbirds""?",Yes,easy,easy,S08_set1_a3,"['121', '122', '77', '91', '120']",Yes,"What seems clear is that penguins belong to a clade of Neoaves (living birds except paleognaths and fowl) which comprises what is sometimes called ""higher waterbirds"" to distinguish them from the more ancient waterfowl. ",True,1
penguin,What order do penguins belong to?,Sphenisciformes,medium,medium,S08_set1_a3,"['121', '122', '68', '91', '108']",Sphenisciformes,"Penguins (order Sphenisciformes, family Spheniscidae) are a group of aquatic, flightless birds living almost exclusively in the Southern Hemisphere.",True,1
penguin,How tall were the tallest prehistoric penguins?,1.80 meters (6 ft) tall,medium,medium,S08_set1_a3,"['102', '105', '72', '73', '104']",1. 6 ft,". Nordenskjoeld's Giant Penguin was the tallest, growing nearly 1.80 meters (6 ft) tall. ",True,1
penguin,What makes penguins so agile in the water?,Their wings,hard,hard,S08_set1_a3,"['77', '80', '82', '81', '128']","Insulating feathers, buoyancy, and air layer.",". Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. ",True,1
penguin,"Why do penguins ""tobaggan""?",Conserves energy while moving quickly,hard,hard,S08_set1_a3,"['80', '128', '77', '85', '83']",To conserve energy.,"Penguins either waddle on their feet or slide on their bellies across the snow, a movement called ""tobogganing"", which conserves energy while moving quickly.  ",True,1
penguin,Who spend half of their life on land and half in the oceans?,Penguins,,medium,S08_set1_a3,"['74', '228', '136', '84', '77']",Penguins,"Most penguins feed on krill, fish, squid, and other forms of sealife caught while swimming underwater. They spend half of their life on land and half in the oceans.",True,1
penguin,What is also the distance that Antarctic tourists are told to keep from penguins?,3 meter,,medium,S08_set1_a3,"['76', '75', '79', '131', '102']",3 meters,"Typically, penguins do not approach closer than about 3 meters (9 ft); they become nervous at about that distance. This is also the distance that Antarctic tourists are told to keep from penguins (tourists are not supposed to approach closer than 3 meters, but are not expected to withdraw if the penguins come closer).",False,1
penguin,"What have become flippers, useless for flight in the air?",Wings,,medium,S08_set1_a3,"['77', '227', '226', '97', '106']",wings,"Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. ",True,1
penguin,What happens when mothers lose a chick?,They sometimes attempt to steal another mothers chick,,medium,S08_set1_a3,"['86', '132', '85', '83', '178']",not specified,"When mothers lose a chick, they sometimes attempt to ""steal"" another mother's chick, usually unsuccessfully as other females in the vicinity assist the defending mother in keeping her chick.  ",True,0
penguin,Is it true that each penguin gets a turn in the center?,Yes,,easy,S08_set1_a3,"['83', '85', '71', '80', '128']",not specified.,They often huddle together to keep warm and rotate positions to make sure that each penguin gets a turn in the center of the heat pack.,True,0
penguin,Are all penguins countershaded?,Yes,,easy,S08_set1_a3,"['78', '113', '89', '88', '128']",Yes,"All penguins are countershaded - that is, they have a white underside and a dark (mostly black) upperside. ",True,1
penguin,Are penguins astonishingly agile?,Yes,,easy,S08_set1_a3,"['77', '80', '128', '75', '79']",Yes,"Penguins are superbly adapted to an aquatic life. Their wings have become flippers, useless for flight in the air. In the water, however, penguins are astonishingly agile. ",True,1
penguin,Are penguins at risk?,Only at sea,,easy,S08_set1_a3,"['75', '128', '69', '89', '71']",not specified,penguins are at risk at sea from predators such as the leopard seal. ,True,0
penguin,"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes,,easy,S08_set1_a3,"['126', '125', '71', '104', '128']",Yes,"It is also possible that penguin comes from the Latin pinguis, “fat”. This is supported by the fact that the corresponding words in most other languages (e.g., French pingouin, German Pinguin) have i instead of e as the first vowel.  However, a Welsh 'i' is often sound-shifted to an 'e' in the English language, .",True,1
penguin,Have penguins an average sense of hearing for birds ?,Yes,,easy,S08_set1_a3,"['81', '77', '75', '82', '128']",Not specified.,Penguins have an average sense of hearing for birds (Wever et al 1969); this is used by parents and chicks to locate one another in crowded colonies (Jouventin et al 1999). ,True,0
penguin,Can larger penguins dive deep in case of need ?,Yes,,easy,S08_set1_a3,"['79', '82', '77', '104', '81']",Yes,Larger penguins can dive deep in case of need. ,True,1
penguin,"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes,,easy,S08_set1_a3,"['72', '102', '69', '105', '99']",Yes,"The smallest penguin species is the Little Blue Penguin (also known as the Fairy Penguin), which stands around 40 cm tall (16 in) and weighs 1 kg (2.2 lb). ",True,1
