ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk,chunk_annotation,answer_annotation
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['0', '7', '4', '9', '5']",Yes,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.",True,1
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['9', '0', '7', '4', '3']",Yes,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.,True,1
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['19', '18', '21', '23', '3']",Yes,Even large pythons are potential prey for leopards.,True,1
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['9', '4', '37', '0', '59']",cheetah,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. ",True,1
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['46', '4', '48', '47', '10']",Pumapard,A pumapard is a hybrid animal resulting from a union between a leopard and a puma,True,1
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['21', '31', '59', '43', '16']","up their tails, and flatten their ears.
Answer: Trees","Leopards often hide their kills in dense vegetation or take them up trees,",True,0
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['5', '6', '4', '0', '38']",By the length of the tail.,"Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",True,1
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['11', '39', '37', '10', '0']",Black Panthers,"Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",True,1
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['11', '27', '31', '10', '42']",not specified,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",False,0
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['0', '13', '3', '4', '34']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['0', '7', '4', '5', '3']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['0', '13', '4', '5', '31']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['13', '11', '14', '0', '34']",not specified,"Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. ",False,0
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['7', '35', '0', '24', '26']",60 to 110cm,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm",True,1
leopard,How much does a leopard weigh?,28 to 90kg,medium,medium,S08_set1_a2,"['7', '0', '3', '26', '23']",37 to 90 kg,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,1
leopard,Does a male leopard weigh more than a female leopard?,Yes,hard,medium,S08_set1_a2,"['7', '31', '48', '24', '28']",Yes,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,1
leopard,What is the difference between leopards and cheetahs?,Rosettes rather than spots and less lanky.,hard,hard,S08_set1_a2,"['9', '0', '4', '7', '37']",not specified,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. ",True,0
leopard,How does the distribution size of the leopard compare to the distribution of other wild cats?,The largest,hard,hard,S08_set1_a2,"['13', '27', '3', '28', '1']",largely not specified,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",True,0
leopard,What resembles that of the similarly-sized cougar in the Americas?,Ecological role,,medium,S08_set1_a2,"['3', '5', '32', '6', '13']",jaguar,Its ecological role resembles that of the similarly-sized cougar in the Americas.,True,0
leopard,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium,S08_set1_a2,"['32', '10', '5', '6', '0']",Leopard,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,What sort of cats are solitary?,Leopards,,hard,S08_set1_a2,"['31', '16', '1', '5', '13']",Leopards,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,Are leopards circular?,"Ther rosettes are circular, yes",,easy,S08_set1_a2,"['0', '37', '4', '40', '31']",No.,They are circular in East Africa but tend to be square in southern Africa.  .,False,0
leopard,Is the leopard solitary?,Yes,,easy,S08_set1_a2,"['31', '16', '26', '0', '4']",Yes,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,What centred in Sierra?,Leopard men,,medium,S08_set1_a2,"['13', '57', '50', '1', '67']",Sierra Leone,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",True,0
leopard,Felis pardus was what?,"One of many species described in Linneaus's work, Systema Naturae",,medium,S08_set1_a2,"['6', '46', '5', '4', '32']","Felis pardus was a species described in Linnaeus's work, Systema Naturae.","Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,,easy,S08_set1_a2,"['64', '63', '42', '13', '0']",Yes,The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards.,True,1
leopard,Were the Leopard men a West African secret society who practised cannibalism ?,Yes,,easy,S08_set1_a2,"['57', '58', '42', '31', '60']",Yes,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",True,1
leopard,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,,easy,S08_set1_a2,"['56', '0', '50', '49', '4']",Yes,The leopard tank was a German designed tank which entered service in 1965.,True,1
leopard,Is the black color heritable and caused by only one recessive gene locus ?,Yes,,easy,S08_set1_a2,"['11', '12', '10', '39', '40']",Yes,The black color is heritable and caused by only one recessive gene locus. ,True,1
leopard,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,,easy,S08_set1_a2,"['0', '5', '4', '7', '3']",Yes.,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. ",True,1
leopard,Can a panther be any of several species of large felid?,Yes,,easy,S08_set1_a2,"['5', '6', '0', '4', '34']",Yes,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards",True,1
leopard,Is the leopard an agile and graceful predator?,Yes,,easy,S08_set1_a2,"['7', '15', '3', '21', '31']",Yes,The leopard is an agile and graceful predator. ,True,1
