ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk,chunk_annotation,answer_annotation
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['7', '0', '5', '3', '9']",Yes,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.",True,1
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['7', '9', '0', '5', '3']",Yes,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.,True,1
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['19', '18', '60', '21', '59']",Yes,Even large pythons are potential prey for leopards.,True,1
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['9', '0', '10', '4', '33']",not specified,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. ",True,0
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['47', '46', '4', '0', '48']",Pumapard,A pumapard is a hybrid animal resulting from a union between a leopard and a puma,True,1
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['21', '59', '19', '15', '60']",Trees,"Leopards often hide their kills in dense vegetation or take them up trees,",True,1
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['5', '10', '0', '4', '35']",By the length of the tail,"Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",True,1
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['0', '10', '33', '4', '37']",Black Panthers,"Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",True,1
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['10', '38', '9', '40', '36']",Circular,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",True,1
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['0', '33', '13', '4', '5']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['0', '5', '33', '7', '10']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['0', '33', '5', '7', '13']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['0', '13', '33', '65', '14']","Subsaharan Africa; Asia; Indian, Southeast Asia, and China.","Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. ",False,0
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['7', '0', '10', '5', '33']",60 to 110cm,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm",True,1
