ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk,answer_annotation,chunk_annotation
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['0', '7', '10', '9', '5']",Yes.,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.",1,True
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['9', '7', '3', '18', '10']",Yes.,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.,1,True
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['19', '23', '18', '21', '7']",Yes,Even large pythons are potential prey for leopards.,1,True
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['9', '10', '15', '37', '3']",Jaguar,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. ",1,True
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['46', '47', '48', '4', '0']",Pumapard,A pumapard is a hybrid animal resulting from a union between a leopard and a puma,1,True
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['21', '26', '31', '19', '15']",up trees,"Leopards often hide their kills in dense vegetation or take them up trees,",1,True
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['5', '0', '10', '34', '66']",By the length of the tail,"Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",1,True
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['0', '10', '11', '37', '15']",Black Panthers,"Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",1,True
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['11', '36', '10', '37', '35']",Rosettes.,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",0,False
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['0', '66', '9', '10', '49']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",1,True
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['0', '3', '10', '47', '9']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",1,True
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['0', '3', '9', '15', '14']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",1,True
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['14', '35', '65', '66', '10']","Indian, Southeast Asia, and China","Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. ",1,False
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['7', '9', '37', '35', '10']",60 to 110cm,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm",1,True
leopard,How much does a leopard weigh?,28 to 90kg,medium,medium,S08_set1_a2,"['7', '23', '18', '10', '37']",37 to 90 kg,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,1,True
leopard,Does a male leopard weigh more than a female leopard?,Yes,hard,medium,S08_set1_a2,"['7', '23', '37', '18', '15']",Yes,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,1,True
leopard,What is the difference between leopards and cheetahs?,Rosettes rather than spots and less lanky.,hard,hard,S08_set1_a2,"['9', '3', '0', '18', '7']","Leopards have rosettes, cheetahs have spots. Leopards are larger and less lanky than cheetahs.","The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. ",1,True
leopard,How does the distribution size of the leopard compare to the distribution of other wild cats?,The largest,hard,hard,S08_set1_a2,"['13', '3', '14', '9', '7']",The distribution size of the leopard is larger than other wild cats.,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",1,True
leopard,What resembles that of the similarly-sized cougar in the Americas?,Ecological role,,medium,S08_set1_a2,"['3', '5', '10', '7', '37']",Jaguar,Its ecological role resembles that of the similarly-sized cougar in the Americas.,0,True
leopard,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium,S08_set1_a2,"['34', '33', '42', '5', '6']",Felis pardus,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",1,True
leopard,What sort of cats are solitary?,Leopards,,hard,S08_set1_a2,"['16', '17', '14', '1', '15']",Leopards,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",1,False
leopard,Are leopards circular?,"Ther rosettes are circular, yes",,easy,S08_set1_a2,"['36', '15', '37', '9', '3']",No.,They are circular in East Africa but tend to be square in southern Africa.  .,1,True
leopard,Is the leopard solitary?,Yes,,easy,S08_set1_a2,"['31', '15', '10', '19', '0']",Yes,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",1,True
