ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,top_n_chunk_id,answer llm,Annotated Chunk,chunk_annotation,answer_annotation
leopard,Is the leopard smaller than the other members of Panthera?,Yes,easy,easy,S08_set1_a2,"['0', '7', '9', '34', '4']",Yes,"Although smaller than the other members of Panthera, the leopard is still able to take large prey given a massive skull that well utilizes powerful jaw muscles.",True,1
leopard,Is a leopard larger and less lanky than a cheetah?,Yes,easy,easy,S08_set1_a2,"['9', '7', '48', '3', '0']",Yes,The leopard is larger and less lanky than the cheetah but smaller than the jaguar.,True,1
leopard,Are large pythons potential prey for leopards?,Yes,easy,easy,S08_set1_a2,"['19', '59', '23', '21', '18']",Yes,Even large pythons are potential prey for leopards.,True,1
leopard,What may a leopard be mistaken for?,Cheetah or a Jaguar,medium,medium,S08_set1_a2,"['9', '59', '3', '36', '0']",jaguar,"One of many spotted cats, a leopard may be mistaken for a cheetah or a jaguar. ",True,1
leopard,What is a hybrid animal resulting from a union between a leopard and a puma?,Pumapard,medium,medium,S08_set1_a2,"['46', '47', '48', '4', '0']",Pumapard,A pumapard is a hybrid animal resulting from a union between a leopard and a puma,True,1
leopard,Where do leopards often hide their kills?,In dense Vegetation or in trees,medium,medium,S08_set1_a2,"['21', '59', '31', '18', '16']",Up trees,"Leopards often hide their kills in dense vegetation or take them up trees,",True,1
leopard,How did early naturalists distinguish between leopards and panthers?,By the length of the tail,hard,hard,S08_set1_a2,"['5', '10', '4', '0', '34']",By the length of the tail,"Early naturalists distinguished between leopards and panthers not by colour (a common misconception), but by the length of the tail panthers having longer tails than leopards.",True,1
leopard,What are dark leopards known as colloquially?,Black Panthers,hard,hard,S08_set1_a2,"['0', '39', '10', '11', '4']",Black Panthers,"Leopards that are melanistic, either all-black or very dark in coloration, are known colloquially as Black Panthers.",True,1
leopard,What shape are a leopard's black roS08_settes in East Africa?,Circulair,hard,hard,S08_set1_a2,"['9', '11', '10', '38', '13']",Circular,"The leopard's black, irregular rosettes serve as camouflage. They are circular in East Africa but tend to be square in southern Africa.  .",True,1
leopard,Is the leopard an Old World mammal?,YEs,easy,easy,S08_set1_a2,"['0', '35', '34', '3', '9']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard of the Felidae family?,Yes,easy,easy,S08_set1_a2,"['0', '34', '5', '9', '18']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Is the leopard one of the four 'big cats'?,Yes,easy,easy,S08_set1_a2,"['0', '9', '3', '7', '15']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar.",True,1
leopard,Where is the leopard distributed?,"Currently in the subsaharan Africa, Once across Eurasia Aftica, Koera to South AFrica and Spain",medium,medium,S08_set1_a2,"['13', '1', '3', '51', '35']","Subsaharan Africa, Israel, the Indian subcontinent, Indochina, Malaysia, and western China","Once distributed across southern Eurasia and Africa, from Korea to South Africa and Spain, it has disappeared from much of its former range and now chiefly occurs in subsaharan Africa. ",True,0
leopard,How long is a leopard's tail?,60 to 110 cm,medium,medium,S08_set1_a2,"['7', '9', '26', '15', '35']",60-110cm,"Head and body length is between 90 and 190 cm, the tail reaches 60 to 110cm",True,1
leopard,How much does a leopard weigh?,28 to 90kg,medium,medium,S08_set1_a2,"['7', '23', '18', '9', '0']",37 to 90 kg,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,1
leopard,Does a male leopard weigh more than a female leopard?,Yes,hard,medium,S08_set1_a2,"['7', '31', '27', '28', '15']",Yes,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females.,True,1
leopard,What is the difference between leopards and cheetahs?,Rosettes rather than spots and less lanky.,hard,hard,S08_set1_a2,"['9', '3', '7', '0', '15']",not specified,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar. ",True,0
leopard,How does the distribution size of the leopard compare to the distribution of other wild cats?,The largest,hard,hard,S08_set1_a2,"['13', '3', '9', '7', '27']",largest,"As of 1996, the leopard had the largest distribution of any wild cat,  although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa.",True,1
leopard,What resembles that of the similarly-sized cougar in the Americas?,Ecological role,,medium,S08_set1_a2,"['3', '5', '9', '48', '7']",Jaguar.,Its ecological role resembles that of the similarly-sized cougar in the Americas.,True,0
leopard,"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus,,medium,S08_set1_a2,"['5', '34', '42', '0', '8']",Felis pardus,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,What sort of cats are solitary?,Leopards,,hard,S08_set1_a2,"['16', '17', '9', '3', '31']",Leopards,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,Are leopards circular?,"Ther rosettes are circular, yes",,easy,S08_set1_a2,"['9', '15', '3', '34', '18']",Not specified.,They are circular in East Africa but tend to be square in southern Africa.  .,True,0
leopard,Is the leopard solitary?,Yes,,easy,S08_set1_a2,"['31', '16', '3', '15', '9']",Yes,"The leopard is solitary and, aside from mating, interactions between individuals appear to be infrequent.  ",True,1
leopard,What centred in Sierra?,Leopard men,,medium,S08_set1_a2,"['53', '57', '38', '51', '35']",Sierra Leone,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",True,0
leopard,Felis pardus was what?,"One of many species described in Linneaus's work, Systema Naturae",,medium,S08_set1_a2,"['6', '5', '0', '34', '35']",leopard,"Felis pardus was one of the many species described in Linnaeus's 18th-century work, Systema Naturae.",True,1
leopard,Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes,,easy,S08_set1_a2,"['64', '63', '42', '65', '62']",Yes,The New Zealand Rugby League has featured the Otahuhu Leopards and then the Tamaki Leopards.,True,1
leopard,Were the Leopard men a West African secret society who practised cannibalism ?,Yes,,easy,S08_set1_a2,"['57', '58', '63', '42', '67']",Yes,"The Leopard men were a West African secret society who practised cannibalism. They were centred in Sierra Leone, Liberia and Côte d'Ivoire.",True,1
leopard,Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,,easy,S08_set1_a2,"['56', '66', '65', '46', '0']",Yes,The leopard tank was a German designed tank which entered service in 1965.,True,1
leopard,Is the black color heritable and caused by only one recessive gene locus ?,Yes,,easy,S08_set1_a2,"['11', '10', '36', '38', '12']",Yes,The black color is heritable and caused by only one recessive gene locus. ,True,1
leopard,"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes,,easy,S08_set1_a2,"['0', '5', '34', '4', '7']",Yes,"The leopard (Panthera pardus) is an Old World mammal of the Felidae family and the smallest of the four 'big cats' of the genus Panthera, along with the tiger, lion, and jaguar. ",True,1
leopard,Can a panther be any of several species of large felid?,Yes,,easy,S08_set1_a2,"['5', '0', '4', '10', '34']",Yes,"A panther can be any of several species of large felid; in North America, the term refers to cougars, in South America, jaguars, and elsewhere, leopards",True,1
leopard,Is the leopard an agile and graceful predator?,Yes,,easy,S08_set1_a2,"['15', '7', '3', '21', '9']",Yes.,The leopard is an agile and graceful predator. ,True,1
